# Longitude, Latitude
# Boundary Points
104.01166666666667, -0.29527777777777775
104.59333333333333, -1.0350000000000001
104.26388888888889, -1.8780555555555556
104.2629167567974, -1.8805617675028297
104.21106095001592, -1.9850514397944459
104.14197393403988, -2.078863390634712
104.05776278564772, -2.1591526715574707
103.96099418499796, -2.2234865479255617
103.85461630966037, -2.2699184458572317
103.74186892992851, -2.2970470972757853
103.62618445178737, -2.3040590403307903
103.51108297623814, -2.2907531453885803
103.4000646622843, -2.2575464002744137
103.29650278031247, -2.2054607818527687
103.22888888888889, -2.1577777777777776
102.80777777777777, -1.4541666666666666
104.01166666666667, -0.29527777777777775

# ARP Sultan Thaha
103.64305555555556, -1.6355555555555554

# Arc Start
104.26388888888889, -1.8780555555555556

# Arc End
103.22888888888889, -2.1577777777777776
