# Longitude, Latitude
# Boundary Points
104.59333333333333, -1.0350000000000001
106.10333333333332, -2.9916666666666667
104.65, -4.533333333333333
103.22888888888889, -2.1577777777777776
103.32722365620279, -2.223257513194932
103.46034479078803, -2.2781801680401514
103.60216651331785, -2.3029789440327937
103.74603222873355, -2.296462374667707
103.8851830807694, -2.258909686453939
104.01307701833697, -2.192058865018328
104.12369760413182, -2.099025792886894
104.2118376571097, -1.9841583513888137
104.26388888888889, -1.8780555555555556
104.59333333333333, -1.0350000000000001

# ARP Sultan Thaha
103.64305555555556, -1.6355555555555554

# Arc Start
103.22888888888889, -2.1577777777777776

# Arc End
104.26388888888889, -1.8780555555555556
